System,Description,#Commits,#Releases,First Release,Last Release,System Software,Implementation,Notes,Row Updated,References
"[Linux](https://www.kernel.org/) kernel ([Git](https://git.kernel.org/), [Git mirror](https://github.com/torvalds/linux))","""Linux is a clone of the operating system Unix, written from scratch by Linus Torvalds with assistance from a loosely-knit team of hackers across the Net. It aims towards POSIX and Single UNIX Specification compliance. It has all the features you would expect in a modern fully-fledged Unix, including true multitasking, virtual memory, shared libraries, demand loading, shared copy-on-write executables, proper memory management, and multistack networking including IPv4 and IPv6."" ([source](https://www.kernel.org/doc/Documentation/admin-guide/README.rst))",1482637,154 (with KConfig),"1991-09-17 (Pre-KConfig: 0.01), 2002-10-30 (Kconfig: 2.5.45)",2026-08-16 (7.2),"""Linux is easily portable to most general-purpose 32- or 64-bit architectures as long as they have a paged memory management unit (PMMU) and a port of the GNU C compiler (gcc) (part of The GNU Compiler Collection, GCC)."" ([source](https://www.kernel.org/doc/Documentation/admin-guide/README.rst))",LKC (in-tree),"original Kconfig implementation, which incepted this configuration language",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [KTM+:ESECFSE17](https://doi.org/10.1145/3106237.3106252) ([models](https://github.com/AlexanderKnueppel/is-there-a-mismatch/tree/master/Data/LargeFeatureModels)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[OpenADK](https://openadk.org/) ([Git](https://github.com/wbx-github/openadk.git))","OpenADK is a ""menu based buildsystem for your embedded Linux system"" ([source](https://github.com/wbx-github/openadk/blob/master/README/)) and a ""free construction kit for Embedded Devices. The resulting firmware boots up very fast, is updateable without losing local configuration changes and the root filesystem is mounted read-only. The default configuration creates a very small linux system."" ([source](https://openadk.org/))",14497,none (trunk-based development),2014-05-18,2026-09-12,"""A free construction kit for Embedded Devices. The resulting firmware boots up very fast, is updateable without losing local configuration changes and the root filesystem is mounted read-only. The default configuration creates a very small linux system."" ([source](https://openadk.org/))",LKC (in-tree),"uses a 2014 version of the Linux implementation ([source](https://github.com/wbx-github/openadk/commit/949d8663f2f12c986ef2983b7b307f5ecddf060e))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[OpenWrt](https://openwrt.org/) ([Git](https://github.com/openwrt/openwrt.git))","""The OpenWrt Project is a Linux operating system targeting embedded devices."" ([source](https://github.com/openwrt/openwrt/blob/main/README.md))",70677,67,2017-02-20 (v17.01.0),2026-07-01 (v25.12.5),"""OpenWrt is a highly extensible GNU/Linux distribution for embedded devices (typically wireless routers). Unlike many other distributions for routers, OpenWrt is built from the ground up to be a full-featured, easily modifiable operating system for embedded devices. In practice, this means that you can have all the features you need with none of the bloat, powered by a modern Linux kernel."" ([source](https://openwrt.org/docs/start))",LKC (in-tree),"occasionally re-synced to the Linux implementation (currently [6.6.16](https://github.com/openwrt/openwrt/blob/main/scripts/config/README)) applies [patches](https://github.com/cotequeiroz/linux/commits/openwrt-v6.6.16/scripts/kconfig) to LKC",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[PTXdist](https://www.ptxdist.org/) ([Git](https://git.pengutronix.de/git/ptxdist), [Web](https://git.pengutronix.de/cgit/ptxdist/))","""PTXdist is a build system for firmware images. It is developed by an Open Source Community including Pengutronix since 2001."" ([source](https://www.ptxdist.org/))",28790,234,2008-07-11 (ptxdist-1.99.4),2026-09-04 (ptxdist-2026.09.0),"""PTXdist is a build system which can be used to generate a root tree and disk images for all kinds of Linux systems. It was written with embedded systems in mind, but there is no reason why you can't use it to configure your firewall, router or whatever dedicated "device" comes to your mind."" ([source](https://git.pengutronix.de/cgit/ptxdist/tree/README))",LKC (in-tree),"""The configuration system Kconfig, known from the Linux kernel, is used to select and configure each package."" ([source](https://www.ptxdist.org/)) ""This is a copy of the linux-2.6.28 scripts/kconfig directory."" ([source](https://git.pengutronix.de/cgit/ptxdist/tree/scripts/kconfig/README.PTX)) applies [patches](https://git.pengutronix.de/cgit/ptxdist/tree/scripts/ptx-modifications) to LKC",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[QEMU](https://www.qemu.org/) ([Git](https://gitlab.com/qemu-project/qemu.git))","""QEMU is a generic and open source machine & userspace emulator and virtualizer."" ([source](https://gitlab.com/qemu-project/qemu/-/blob/master/README.rst))",133126,"103",2020-08-11 (v5.1.0),2026-08-26 (v11.1.1),"""QEMU is capable of emulating a complete machine in software without any need for hardware virtualization support. By using dynamic translation, it achieves very good performance. [...] When QEMU emulates CPUs directly it is capable of running operating systems made for one machine (e.g. an ARMv7 board) on a different machine (e.g. an x86_64 PC board)."" ([source](https://gitlab.com/qemu-project/qemu/-/blob/master/README.rst)) ""QEMU is a very versatile emulator; it can be built for a variety of targets, where each target can emulate various boards and at the same time different targets can share large amounts of code"" ([source](https://www.qemu.org/docs/master/devel/kconfig.html))",minikconf.py,"""QEMU uses a simple domain-specific language to describe the dependencies between components. [...] This domain-specific language is based on the Kconfig language that originated in the Linux kernel, though it was heavily simplified and the handling of dependencies is stricter in QEMU."" ([source](https://www.qemu.org/docs/master/devel/kconfig.html))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[Soletta](https://github.com/solettaproject/soletta) ([Git](https://github.com/solettaproject/soletta.git))","""Soletta Project is a framework for making IoT devices. With Soletta Project's libraries developers can easily write software for devices that control actuators/sensors and communicate using standard technologies."" ([source](https://github.com/solettaproject/soletta/blob/master/README.md))",3086,24,2015-08-13 (v1_beta0),2018-07-09 (v2_rc2),"""Soletta works on top of many different operating systems and features supported on each of these systems may differ. Aside from Linux, they are focused on Embedded Systems and IoT."" ([source](https://github.com/solettaproject/soletta/blob/master/README.md))",LKC (in-tree),"""The build system is based on linux kernel's kconfig."" ([source](https://github.com/solettaproject/soletta/blob/master/README.kconfig)) uses the Linux 4.0 implementation ([source](https://github.com/solettaproject/soletta/commit/48831700d0f480dde4a55d2998b1d7c91964f1cb))",September 2026,"[SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [soletta-case-study](https://github.com/TUBS-ISF/soletta-case-study), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
[toybox](https://landley.net/toybox/) ([Git](https://github.com/landley/toybox)),"""Toybox combines many common Linux command line utilities together into a single BSD-licensed executable. Toybox's main goal is to make Android self-hosting by improving Android's command line utilities so it can build an installable Android Open Source Project image entirely from source under a stock Android system."" It is similar to BusyBox and was created by BusyBox's maintainer due to a licensing argument. (Source [1](https://landley.net/toybox/), [2](https://landley.net/talks/elc-2019.txt), [3](https://landley.net/toybox/faq.html#why_toybox), [4](https://lwn.net/Articles/202106/))",5688,53,2006-11-02 (0.0.1),2026-06-22 (0.8.14),"Intended to make android (an operating system) self-hosting, intended to be cross-compiled, intended for constrained environments (like embedded systems) where fork() is unavailable, only depends on libc ([source](https://landley.net/toybox/faq.html))","LKC (in-tree, until release 0.8.12), kconfig.c (since release 0.8.13)","""copied from the Linux kernel"" ([source](https://landley.net/toybox/faq.html#code)) ""This is a snapshot of linux 2.6.12 kconfig as washed through busybox and further modified by Rob Landley."" He had a hard time getting changes upstream: ([source](https://github.com/landley/toybox/tree/master/kconfig)) Due to this and licensing issues (LKC is GPL) he is rewriting a Kconfig implementation from scratch for version 1.0: ""This development cycle finally started replacing the old kconfig/*.c plumbing (dating back to the 2.6 kernel) with a new scripts/kconfig.c"" ([source](https://landley.net/toybox/news.html))",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[U-Boot](https://www.denx.de/wiki/U-Boot/) ([Git](https://source.denx.de/u-boot/u-boot.git), [Git mirror](https://github.com/u-boot/u-boot))","U-Boot is ""a boot loader for Embedded boards based on PowerPC, ARM, MIPS and several other processors."" ([source](https://github.com/u-boot/u-boot/blob/master/README))",107116,"54",2008-10-18 (v2008.10),2026-07-06 (v2026.07),"""can be installed in a boot ROM and used to initialize and test the hardware or to download and run application code"" ([source](https://github.com/u-boot/u-boot/blob/master/README)) used in Raspberry Pi 4 ([source](https://docs.u-boot.org/en/stable/board/broadcom/raspberrypi.html))",LKC (in-tree),"""The conventional configuration was replaced by Kconfig at v2014.10-rc1 release."" ([source](https://github.com/u-boot/u-boot/blob/master/doc/develop/kconfig.rst)) occasionally re-synced to the Linux implementation (currently [4.20](https://github.com/u-boot/u-boot/commit/473fc279c898d113cc5eff656efbbf08e1bea1d3)) Masahiro Yamada, a core developer of U-Boot, was also maintainer of KConfig in the Linux kernel from 2018-2025",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[uClibc](https://uclibc.org/) ([Git mirror](https://github.com/kraj/uClibc), broken [Git](git://uclibc.org/uClibc.git))","""uClibc (aka µClibc/pronounced yew-see-lib-see) is a C library for developing embedded Linux systems. It is much smaller than the GNU C Library, but nearly all applications supported by glibc also work perfectly with uClibc."" ([source](https://web.archive.org/web/20250501014431/https://www.uclibc.org/about.html))",9703,37,2000-05-14 (0.9.1),2012-05-15 (v0.9.33.2),"""Initially, the project began since the GNU C library lacked support for MMU-less systems, and because glibc is very large."" ""intended primarily for embedded use"" also has cross compilation support ([source](https://web.archive.org/web/20250613192936/https://uclibc.org/FAQ.html))",LKC (in-tree),"""This is a copy of the kconfig code in the kernel tweaked to suit uClibc"" ([source](https://github.com/kraj/uClibc/tree/master/extra/config))",September 2026,"[SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [KTM+:ESECFSE17](https://doi.org/10.1145/3106237.3106252) ([models](https://github.com/AlexanderKnueppel/is-there-a-mismatch/tree/master/Data/LargeFeatureModels)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[uClibc++](https://cxx.uclibc.org/) ([Git](git://git.busybox.net/uClibc++))","uClibc++ is a C++ standard library targeted towards the embedded systems/software market."" ([source](https://cxx.uclibc.org/about.html))",381,"7",2004-08-23 (0_0_5),2019-04-06 (v0.2.5),""uClibc++ "may purposefully lack features which you might normally expect to find in a full fledged C++ standard library. The library will focus on space savings as opposed to performance."" ([source](https://cxx.uclibc.org/about.html))",LKC (in-tree),"presumably uses a 2008 version of the Linux implementation",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
