System,Description,#Commits,#Releases,First Release,Last Release,System Software,Implementation,Notes,Row Updated,References
"[uClibc-ng](https://uclibc-ng.org/) ([Git](https://git.uclibc-ng.org/git/uclibc-ng.git), [Git mirror](https://github.com/wbx-github/uclibc-ng))","""uClibc-ng is a small C library for developing embedded Linux systems. It is much smaller than the GNU C Library, but nearly all applications supported by glibc also work perfectly with uClibc-ng."" This is a fork of uclibc and was started after its last release. We include it here separately because its repository does not include the history of uClibc. ([source](https://github.com/brgl/uclibc-ng/blob/master/README))",11074,60,2015-02-02 (1.0.0),2026-08-08 (v1.0.59),see uclibc,LKC (in-tree),"""This is a copy of the kconfig code in the kernel tweaked to suit uClibc"" ([source](https://github.com/wbx-github/uclibc-ng/tree/master/extra/config))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[uClinux-dist](http://www.uclinux.org/) ([Git](https://github.com/scs/uclinux.git))","""The uClinux-dist source package is an ""all-in-one"" build framework for generating a complete system. It has been developed with embedded devices in mind, but it can just as equally be used for normal computing devices (like a PC for example). It is ideal for building small, lightweight systems."" ([source](https://github.com/scs/uclinux/blob/master/README))",7464,"7",2010-03-08 (release/v2.0),2011-03-17 (release/v2.1-p1),"""The uClinux-dist was originally targeted specifically at non-MMU microprocessors. But for many years now it has supported full VM processors. It supports a wide varity of hardware, many CPUs and a large number of target boards."" ([source](https://github.com/scs/uclinux/blob/master/README))",LKC (in-tree),"uses an unknown version of the Linux implementation",September 2026,"[BSL+:TSE13](https://doi.org/10.1109/TSE.2013.34) ([models](https://github.com/DanOpcode/linux-variability-analysis-tools.formulas)), [SBK+:SPLC24](https://doi.org/10.1145/3646548.3672590) ([models](https://github.com/SoftVarE-Group/feature-model-benchmark/tree/master/feature_models/original/systems_software)), [KTM+:ESECFSE17](https://doi.org/10.1145/3106237.3106252) ([models](https://github.com/AlexanderKnueppel/is-there-a-mismatch/tree/master/Data/LargeFeatureModels)), [torte](https://github.com/ekuiter/torte/tree/main/src/systems)"
"[Unikraft](https://unikraft.org/) ([Git](https://github.com/unikraft/unikraft.git))","""The Unikraft Library Operating System (LibOS) powers the next-generation of cloud native, containerless applications by enabling you to radically customize and build custom OS/kernels."" ([source](https://unikraft.org/docs/getting-started))",4144,"26",2020-02-21 (RELEASE-0.4),2026-04-20 (RELEASE-0.21.0),"""Unikraft addresses this need with its modular design, enabling developers to create customized, lightweight operating systems tailored to specific application requirements."" ([source](https://github.com/unikraft/unikraft/blob/staging/README.md))","LKC (in-tree, primary), Kconfiglib (script/non-Linux fallback)","LKC is occasionally re-synced to the Linux implementation (currently [5.2](https://github.com/unikraft/unikraft/blob/ee652d8d94121e0099131c6a5b1d32c258ef781c/support/kconfig/README.unikraft)) applies [patches](https://github.com/unikraft/unikraft/tree/staging/support/kconfig/patches) to LKC",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[Xvisor](https://xhypervisor.org/) ([Git](https://github.com/xvisor/xvisor.git))","""Xvisor is an open-source type-1 hypervisor, which aims at providing a monolithic, light-weight, portable, and flexible virtualization solution."" ([source](https://github.com/xvisor/xvisor/blob/master/README.md))",6007,19,2011-10-21 (v0.1.0),2023-01-01 (v0.3.2),"""It provides a high performance and low memory foot print virtualization solution for ARMv7a-ve, ARMv8a, x86_64, RISC-V, and other CPU architectures. Xvisor primarily supports Full virtualization hence, supports a wide range of unmodified Guest operating systems."" ([source](https://github.com/xvisor/xvisor/blob/master/README.md))","LKC (in-tree, renamed to Openconf)","""For configuration Xvisor uses [Openconf](https://github.com/xvisor/xvisor/blob/master/tools/openconf/openconf_syntax.txt), which is a modified version of Linux Kconfig. The motivation behing Openconf is to get Xvisor specific information from environment variables, and to later extend the syntax of Kconfig to check for dependent libraries & tools at configuration time."" ([source](https://github.com/xvisor/xvisor/blob/master/README.md))" uses a modified version of the Linux implementation at least as old as 2011 ([source](https://github.com/xvisor/xvisor/commit/26ade46b424e9de5f44cacfc6f46c3ba9fcee867))",September 2026,[torte](https://github.com/ekuiter/torte/tree/main/src/systems)
"[ACRN](https://projectacrn.github.io/) ([Git](https://github.com/projectacrn/acrn-hypervisor.git))","""ACRN is a flexible, lightweight reference hypervisor, built with real-time and safety-criticality in mind, optimized to streamline embedded development through an open source platform."" ([source](https://projectacrn.github.io/))",8303,666,2018-07-12 (v0.1),2024-08-02 (v3.3),"""ACRN is a type 1 reference hypervisor stack that runs on bare-metal hardware, with fast booting, and is configurable for a variety of IoT, Edge, and embedded device solutions."" ([source](https://projectacrn.github.io/latest/introduction/index.html))",KConfigLib (until v2.3),"""Kconfiglib is used exclusively by e.g. the Zephyr, esp-idf, and ACRN projects."" ([source](https://github.com/zephyrproject-rtos/Kconfiglib)) ""The ACRN hypervisor leverages Kconfig to manage configurations; it is powered by Kconfiglib."" ([source](https://projectacrn.github.io/1.6.1/getting-started/building-from-source.html)) However, starting with v2.4, ""Kconfig is no longer used for configuration. Related build targets, such as defconfig, now apply to the configuration files in XML."" ([source](https://projectacrn.github.io/2.5/release_notes/release_notes_2.4.html))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[Apache NuttX](https://nuttx.apache.org/) ([Git](https://github.com/apache/nuttx.git))","""Apache NuttX is a free and open-source (FOSS) real-time operating system (RTOS)"" with ""an emphasis on standards compliance and small footprint."" ([source](https://nuttx.apache.org/))",63191,205,2007 (pre-Apache),2026-07-16 (nuttx-13.0.0),"""NuttX is a real-time operating system (RTOS) with an emphasis on standards compliance and small footprint. Scalable from 8-bit to 64-bit microcontroller environments, the primary governing standards in NuttX are POSIX and ANSI standards."" ([source](https://nuttx.apache.org/docs/latest/))","LKC (kconfig-frontends), KConfigLib","""The Apache NuttX configuration system uses Linux's kconfig system which includes various frontends that allow you to modify configuration easily."" ([source](https://nuttx.apache.org/docs/latest/quickstart/configuring.html)) ""NuttX configuration system uses KConfig which is exposed via a series of interactive menu-based frontends, part of the kconfig-frontends package."" ""NuttX also supports kconfiglib by default, which is a Kconfig tool implemented in Python 2/3."" ([source](https://nuttx.apache.org/docs/latest/quickstart/install.html))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[ESP-IDF](https://idf.espressif.com/) ([Git](https://github.com/espressif/esp-idf.git))","""ESP-IDF is the development framework for Espressif SoCs supported on Windows, Linux and macOS."" ([source](https://github.com/espressif/esp-idf))",55198,192,2016-11-30 (v0.9),2026-09-11 (v5.3.6),"""Whether you are prototyping a sensor node, shipping a Matter-certified product, or building an edge device with AI, ESP-IDF gives you drivers, networking stacks, security features, and build tooling in one place so you can focus on your application."" ([source](https://developer.espressif.com/tags/esp-idf/))",KConfigLib (esp-idf-kconfig),"""Kconfiglib is used exclusively by e.g. the Zephyr, esp-idf, and ACRN projects."" ([source](https://github.com/zephyrproject-rtos/Kconfiglib)) ""The esp-idf-kconfig package, originated in 2018, includes wider suite of tools, tailored for ESP-IDF, and is actively maintained. The package is designed to be used with the Espressif IoT Development Framework (ESP-IDF), although it can be used with other projects as well, either as a whole suite or as individual tools."" ([source](https://docs.espressif.com/projects/esp-idf-kconfig/en/latest/kconfiglib/index.html)) ""Although we tried to keep the esp-idf-kconfig package as close to the original kconfiglib as possible, there are some differences between the two."" ([source](https://docs.espressif.com/projects/esp-idf-kconfig/en/latest/kconfiglib/differences.html))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[Huawei LiteOS](https://github.com/LiteOS/LiteOS)","Huawei LiteOS is a lightweight operating system based on a real-time kernel, developed by Huawei for the Internet of Things (IoT). ([source](https://github.com/LiteOS/LiteOS))",825,16,2017-01-20 (v1.1.0),2019-08-01 (LiteOSV200R001C50B039),"Huawei LiteOS has enabled partners in the NB-IoT market through technology, ecosystem development, solutions, and commercial support, helping build an open-source IoT ecosystem. It has brought together more than 50 MCU and solution partners to develop open-source development kits and industry solutions. ([source](https://github.com/LiteOS/LiteOS))",KConfigLib,"imports KConfigLib ([source](https://github.com/LiteOS/LiteOS/blob/master/tools/menuconfig/usr_config.py))",September 2026,
"[MCUXpresso SDK](https://mcuxpresso.nxp.com/) ([Git](https://github.com/nxp-mcuxpresso/legacy-mcux-sdk.git))","""MCUXpresso SDK is a comprehensive software enablement package designed to simplify and accelerate application development with Arm® Cortex®-M-based devices from NXP."" ([source](https://github.com/nxp-mcuxpresso/legacy-mcux-sdk))",536,70,2021-01-18 (MCUX_2.9.0),2025-07-24 (Real-Time-Edge-v3.2-202507),"""This mcux-sdk project/repo provides the fundamental support for all NXP hot parts."" ([source](https://github.com/nxp-mcuxpresso/legacy-mcux-sdk))",KConfigLib,"""In MCUXpresso SDK, Kconfig is used to config the build in runtime which includes component selection with dependency resolve, component configuration with feature enable, disable and customization."" ([source](https://mcuxpresso.nxp.com/mcuxsdk/latest/html/develop/build_system/Configuration_System.html))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[OpenSBI](https://github.com/riscv-software-src/opensbi)","""The goal of the OpenSBI project is to provide an open-source reference implementation of the RISC-V SBI specifications for platform-specific firmwares executing in M-mode."" ([source](https://github.com/riscv-software-src/opensbi))",2225,22,2019-01-30 (v0.1),2026-07-01 (v1.9),"""An OpenSBI implementation can be easily extended by RISC-V platform and system-on-chip vendors to fit a particular hardware configuration."" ([source](https://github.com/riscv-software-src/opensbi))","KConfigLib (in-tree)","""All OpenSBI platforms support Kconfig style build-time configuration."" ([source](https://github.com/riscv-software-src/opensbi))",September 2026,
"[PX4 Autopilot](https://px4.io/) ([Git](https://github.com/PX4/PX4-Autopilot.git))","""PX4 is used in a wide range of use-cases, from consumer drones to industrial applications. It is also the leading research platform for drones and has been successfully applied to under water vehicles and boats."" ([source](https://px4.io/))",51069,167,2016-08-06 (v1.4.1),2026-05-13 (v1.17.0),"""The PX4 Autopilot firmware can be configured at build time to adapt it for specialized applications (fixed-wing, multicopter, rover or more), to enable new and experimental features (such as Cyphal) or to save flash & RAM usage by disabling some drivers and subsystems."" ([source](https://docs.px4.io/main/en/hardware/porting_guide_config))",KConfigLib,"""This configuration is handled through Kconfig, which is the same configuration system used by NuttX."" ([source](https://docs.px4.io/main/en/hardware/porting_guide_config))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[RIOT](https://www.riot-os.org/) ([Git](https://github.com/RIOT-OS/RIOT.git))","""RIOT powers the Internet of Things like Linux powers the Internet. RIOT is a free, open source operating system developed by a grassroots community gathering companies, academia, and hobbyists, distributed all around the world."" ([source](https://www.riot-os.org/))",50390,219,2014-05-24 (2013.08),2026-08-21 (2026.07),"""RIOT supports most low-power IoT devices, microcontroller architectures (32-bit, 16-bit, 8-bit), and external devices. RIOT aims to implement all relevant open standards supporting an Internet of Things that is connected, secure, durable & privacy-friendly."" ([source](https://www.riot-os.org/))",KConfigLib,"""The objective of using Kconfig in RIOT is to configure software modules at compile-time."" ([source](https://guide.riot-os.org/build-system/kconfig/))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[RT-Thread](https://www.rt-thread.io/) ([Git](https://github.com/RT-Thread/rt-thread.git))","""RT-Thread is an open source IoT Real-Time Operating System (RTOS)."" ([source](https://github.com/RT-Thread/rt-thread))",18188,44,2014-11-03 (v1.2.3),2026-09-10 (v5.3.0),"""RT-Thread is mainly written in C language, easy to understand and easy to port(can be quickly port to a wide range of mainstream MCUs and module chips)."" ""For resource-constrained microcontroller (MCU) systems, the Nano version that requires only 3KB Flash and 1.2KB RAM memory resources can be tailored with easy-to-use tools."" ([source](https://github.com/RT-Thread/rt-thread))",KConfigLib ([env](https://github.com/RT-Thread/Env)),"""Its built-in menuconfig provides an easy-to-use configuration tailoring tool. It can tailor the kernels, components and software packages freely, so that the system can be constructed by building blocks."" ([source](https://www.rt-thread.io/document/site/programming-manual/env/env/)) ""env v2.0 require python kconfiglib"" ([source](https://github.com/RT-Thread/env)) moved from kconfig-frontends to KConfigLib ([source](https://github.com/RT-Thread/rt-thread/blob/master/ChangeLog.md#tools-3))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
"[Zephyr](https://www.zephyrproject.org/) ([Git](https://github.com/zephyrproject-rtos/zephyr.git))","""The Zephyr Project is a scalable real-time operating system (RTOS) supporting multiple hardware architectures, optimized for resource constrained devices, and built with security in mind."" ([source](https://github.com/zephyrproject-rtos/zephyr))",151981,225,2016-02-17 (1.0.0),2026-08-07 (v4.4.2),"""The Zephyr OS is based on a small-footprint kernel designed for use on resource-constrained systems: from simple embedded environmental sensors and LED wearables to sophisticated smart watches and IoT wireless gateways."" ([source](https://github.com/zephyrproject-rtos/zephyr)) "The Zephyr kernel and subsystems can be configured at build time to adapt them for specific application and platform needs."" ([source](https://docs.zephyrproject.org/latest/build/kconfig/index.html))",KConfigLib,"""Configuration is handled through Kconfig, which is the same configuration system used by the Linux kernel."" ([source](https://docs.zephyrproject.org/latest/build/kconfig/index.html)) ""Kconfiglib is used exclusively by e.g. the Zephyr, esp-idf, and ACRN projects."" ([source](https://github.com/zephyrproject-rtos/Kconfiglib))",September 2026,"[Ðorđević26](https://elias-kuiter.de/publications/#Dordevic26)"
