Date,Commit ID,Classification,L,P,S,E,M,Description,Notes
2021-04-10,5ee546594025,Refactoring,,Y,Y,,,kconfig: change sym_change_count to a boolean flag,
2021-04-14,a77a05dc9cf2,Refactoring,,Y,,,Y,kconfig: split menu.c out of parser.y,
2021-09-13,d05377e184fc,Semantic change & Bug Fix,,,,,Y,kconfig: Create links to main menu items in search,v5.15-rc2-9-gd05377e184fc
2021-09-27,65017d8381e2,Refactoring,Y,,,,,kconfig: narrow the scope of variables in the lexer,
2021-09-27,6988f70cf105,Refactoring,Y,,,,,kconfig: rename a variable in the lexer to a clearer name,
2021-10-01,229d0cfae5b2,Refactoring,,,Y,,,kconfig: remove 'const' from the return type of sym_escape_string_value(),
2021-10-01,80f7bc773763,Refactoring,,,Y,,,kconfig: move sym_escape_string_value() to confdata.c,
2022-09-12,03764b30a4f0,Refactoring,,,,,Y,Kconfig: remove unused function 'menu_get_root_menu',
2022-10-24,7a263a040256,Bug Fix,,,,,Y,kconfig: fix segmentation fault in menuconfig search,
2022-11-13,1791360cb37f,Refactoring,,,,,Y,kconfig: remove unneeded variable in get_prompt_str(),Dead Code cleanup
2023-07-16,356f0cb7efd9,Refactoring,,,,,Y,kconfig: menuconfig: remove jump_key::index,
2023-07-16,e14f1242a8be,Refactoring,,,,,Y,kconfig: menuconfig: simplify global jump key assignment,Small Semantic change on UI
2023-11-15,ae1eff0349f2,Bug Fix,,,Y,,,kconfig: fix memory leak from range properties,
2023-11-22,15d3f7664d27,Error Handling,,,Y,,,kconfig: WERROR unmet symbol dependency,
2023-11-26,4e244c10eab3,Refactoring,,,Y,,,kconfig: remove unneeded symbol_empty variable,
2023-11-26,6262afa10ef7,Bug Fix,,,Y,,,kconfig: default to zero if int/hex symbol lacks default property,
2023-12-03,092e39d1456b,Refactoring,,,,,Y,kconfig: squash menu_has_help() and menu_get_help(),
2023-12-03,9ad86d747c46,Other,,,,Y,,kconfig: remove unreachable printf(),cleanup
2024-01-07,12e3342fc7b0,Refactoring,Y,,,,,kconfig: remove unneeded buffer allocation in zconf_initscan(),
2024-01-07,93c432e8c974,Bug Fix,Y,,,,,kconfig: fix line number in recursive inclusion detection,
2024-01-26,bfef491df670,Bug Fix,,,Y,,,kconfig: initialize sym->curr.tri to 'no' for all symbol types again,
2024-02-03,1a90b0cdc02a,Refactoring,,,Y,,Y,kconfig: associate struct property with file name directly,
2024-02-03,1d7c4f10baac,Refactoring,Y,Y,,,Y,kconfig: remove zconf_curname() and zconf_lineno(),
2024-02-03,313c6cd3c2d5,Bug Fix,,Y,,,,kconfig: fix off-by-one in zconf_error(),
2024-02-03,40bab83a6595,Refactoring,,Y,Y,,Y,kconfig: associate struct menu with file name directly,
2024-02-03,4dae9cf5cbb8,Refactoring,,,,,Y,kconfig: split list_head into a separate header,
2024-02-03,4ff7ceae83be,Refactoring,Y,,,,,kconfig: replace remaining current_file->name with cur_filename,
2024-02-03,526396b723a3,Refactoring,,Y,,,,kconfig: write Kconfig files to autoconf.cmd in order,
2024-02-03,52907c07c49b,Refactoring,Y,,,,,kconfig: replace current_pos with separate cur_{filename,
2024-02-03,56e634b06fd5,Refactoring,,Y,,,,kconfig: call env_write_dep() right after yyparse(),
2024-02-03,5b058034e3aa,Refactoring,Y,,,,Y,kconfig: change file_lookup() to return the file name,
2024-02-03,73a6afc5a541,Refactoring,,Y,,,,kconfig: remove unneeded sym_find() call in conf_parse(),
2024-02-03,7c4aa901bd9d,Refactoring,,,Y,,,kconfig: move strhash() to util.c as a global function,
2024-02-03,7d5f52a4334c,Semantic change & Error Handling,,,,,Y,kconfig: do not imply the type of choice value,"Removes automatic type guessing for choice values, showin missing type definitions as errors in configuration v6.8-rc5-39-g7d5f52a4334c"
2024-02-03,8facc5f31954,Refactoring,Y,,,,Y,kconfig: move the file and lineno in struct file to struct buffer,
2024-02-03,af8bbce92044,Bug Fix,Y,,,,,kconfig: fix infinite loop when expanding a macro at the end of file,
2024-02-03,d3d16228a520,Refactoring,Y,Y,,,,kconfig: split preprocessor prototypes into preprocess.h,
2024-02-03,d3e4a68fe20f,Refactoring,Y,Y,,,,kconfig: do not delay the cur_filename update,
2024-02-03,fe273c6fc318,Refactoring,Y,,,,,kconfig: replace file->name with name in zconf_nextfile(),
2024-02-11,91b69454f93d,Refactoring,,Y,Y,,,kconfig: use generic macros to implement symbol hashtable,
2024-02-11,cc25cfc563ad,Error Handling,,Y,,,,kconfig: print recursive dependency errors in the parsed order,
2024-03-03,bedf92362317,Refactoring,,,,,Y,kconfig: use linked list in get_symbol_str() to iterate over menus,
2024-03-03,c83f020973bc,Syntactic change & Semantic change,,Y,,,,kconfig: remove named choice support,"Removes 'named choice' from the Kconfig grammar, simplifying syntax and removing unused semantic behavior. v6.8-rc5-55-gc83f020973bc"
2024-03-03,e0492219a6d7,Refactoring,,,Y,,Y,kconfig: link menus to a symbol,
2024-03-10,4957515b9c3a,Semantic change & Error Handling,,Y,,,Y,kconfig: check prompt for choice while parsing,"choice must have a prompt' check from finalization to parsing, providing earlier and clearer syntax error handling. v6.8-rc5-62-g4957515b9c3a"
2024-03-23,7e3465f63a0a,Semantic change & Bug Fix,,Y,,,Y,kconfig: do not reparent the menu inside a choice block,"Fixes invalid reparenting of menu items inside a choice, members stays on the same level and selectable v6.9-rc1-3-g7e3465f63a0a"
2024-04-21,03c4ecaa5c76,Refactoring,,Y,,,,kconfig: use menu_for_each_entry() to traverse menu tree,
2024-04-21,7284b4fbc847,Other,,,,,Y,kconfig: add menu_next() function and menu_for_each(_sub)_entry macros,API improvement
2024-04-23,1da251c60def,Other,,Y,Y,,,kconfig: remove SYMBOL_CHOICE flag,Removes the redundant SYMBOL_CHOICE flag code cleanup
2024-04-23,6a1215888e23,Syntactic change & Semantic change,Y,Y,,,Y,kconfig: remove 'optional' property support,Removes the 'optional' property for choices from the Kconfig language v6.9-rc5-15-g6a1215888e23
2024-04-27,a7c79cf3e4eb,Other,,Y,Y,,,kconfig: remove SYMBOL_NO_WRITE flag,Code cleanup
2024-05-05,700e7a8d05ea,Error Handling,,Y,,,Y,kconfig: turn missing prompt for choice members into error,error in menu finalize is now parse time error
2024-05-05,7bcf2e03b502,Refactoring,,,Y,,,kconfig: add sym_get_choice_menu() helper,
2024-05-05,7d2806746d46,Refactoring,,,Y,,,kconfig: use linked list in sym_set_changed(),
2024-05-05,8a22f867e330,Semantic change & Error Handling,,Y,,,Y,kconfig: turn defaults and additional prompt for choice members into error,usage of unsupported default/propmt is now error not warning v6.9-rc5-32-g8a22f867e330
2024-05-05,dfff05cc1005,Refactoring,,,Y,,,kconfig: use menu_list_for_each_sym() in sym_check_choice_deps(),
2024-05-14,6ffe4fdf8901,Refactoring,,,,,Y,kconfig: use sym_get_choice_menu() in sym_check_prop(),
2024-05-19,31894d35b51b,Refactoring,,,,Y,,kconfig: remove redundant check in expr_join_or(),
2024-05-19,aabdc960a283,Semantic change & Bug Fix,,,Y,,,kconfig: fix comparison to constant symbols,fixes faulty comparison logic v6.10-rc1-2-gaabdc960a283
2024-06-02,fde192511bdb,Syntactic change & Semantic change,,Y,Y,,Y,kconfig: remove tristate choice support,"important, choices are not accepting tristate anymore v6.10-rc7-6-gfde192511bdb"
2024-06-04,77a92660d8fe,Bug Fix,,,,Y,Y,kconfig: remove wrong expr_trans_bool(),
2024-06-12,9b114520837a,Refactoring,,Y,,,,kconfig: remember the current choice while parsing the choice block,
2024-06-12,bd988e7cb84a,Refactoring,,,Y,,,kconfig: introduce choice_set_value() helper,
2024-06-12,cd90952101c8,Refactoring,,,,Y,,kconfig: remove unneeded code in expr_compare_type(),
2024-06-12,dfe8e56fc604,Other,,,,Y,,kconfig: add fallthrough comments to expr_compare_type(),Commenting
2024-06-18,609fc4099b34,Refactoring,,,Y,,,kconfig: use sym_get_choice_menu() in sym_check_choice_deps(),
2024-06-18,6e6d0e917a97,Refactoring,,,Y,,,kconfig: use menu_list_for_each_sym() in sym_choice_default(),
2024-06-18,7c9bb07a6e94,Refactoring,,,Y,Y,,kconfig: remove E_LIST expression type,
2024-06-18,b139b43e9d47,Refactoring,,,Y,,,kconfig: use sym_get_choice_menu() in sym_check_deps(),
2024-06-18,bd0db4b6ad03,Refactoring,,,Y,,,kconfig: remove sym_get_choice_value(),
2024-06-18,ca4c74ba306e,Refactoring,,Y,Y,,Y,kconfig: remove P_CHOICE property,
2024-06-18,d8f8bbcf4b94,Refactoring,,,Y,,,kconfig: use sym_get_choice_menu() in sym_check_print_recursive(),
2024-06-18,e8fcd915e3c0,Refactoring,,,Y,,,kconfig: change sym_choice_default() to take the choice menu,
2024-06-18,f79dc03fe68c,Refactoring,,Y,Y,,Y,kconfig: refactor choice value calculation,
2024-06-27,1a7d0ea83e62,Error Handling,,,Y,,,kconfig: improve error message for dependency between choice members,
2024-06-27,d533828ef3ca,Bug Fix,,,Y,,Y,kconfig: fix conditional prompt behavior for choice,
2024-06-27,d5afb4824f14,Refactoring & Error Handling,,,Y,,,kconfig: refactor error messages in sym_check_print_recursive(),
2024-06-27,d67624d814ae,Error Handling,,,Y,,,kconfig: improve error message for recursive dependency in choice,
2024-07-08,3c2f84cedaeb,Refactoring,,,,Y,,kconfig: remove 'e1' and 'e2' macros from expression deduplication,
2024-07-08,6425e3b247b1,Refactoring,,Y,Y,Y,Y,kconfig: add const qualifiers to several function arguments,
2024-07-08,8bfd6f0923cd,Refactoring,,,,Y,,kconfig: call expr_eliminate_yn() at least once in expr_eliminate_dups(),
2024-07-08,94a4b0a4cb43,Refactoring,,,Y,,Y,kconfig: remove SYMBOL_CHOICEVAL flag,
2024-07-17,9d0d26604657,Bug Fix,,,Y,,,kconfig: recursive checks drop file/lineno,
2024-07-20,fbaf242c956a,Refactoring,,,,,Y,kbuild: move some helper headers from scripts/kconfig/ to scripts/include/,
2024-08-12,5e6cc7e3f296,Refactoring,,,,,Y,kconfig: stop adding P_SYMBOL property to symbols,
2024-08-12,96490176f1e1,Refactoring,,Y,Y,,,kconfig: remove P_SYMBOL property,
2024-08-12,a9d83d74783b,Refactoring,Y,Y,Y,Y,Y,kbuild: split x*alloc() functions in kconfig to scripts/include/xalloc.h,
2024-08-12,dc73a57aeaaa,Refactoring,,Y,,,,kconfig: remove dummy assignments to cur_{filename,
2024-09-08,440f67ccdcd3,Refactoring,,,,Y,,kconfig: refactor expr_eliminate_dups(),
2024-09-08,4fa146eaecae,Other,,,,Y,,kconfig: add comments to expression transformations,
2024-09-08,95573cac25c6,Other,,,Y,Y,,kconfig: cache expression values,performance optimization
2024-09-08,a16219bdd347,Refactoring,,,Y,,,scripts: move hash function from scripts/kconfig/ to scripts/include/,
