Date,Commit ID,Classification,L,P,S,E,M,Description,Notes
2010-06-08,246cf9c26bf1,Semantic change & Error Handling,,,Y,,Y,kbuild: Warn on selecting symbols with unmet direct dependencies,v2.6.33-rc6-172212-g246cf9c26bf1
2010-06-30,0a28c47b8db8,Semantic change & Bug Fix,,,Y,,,kconfig: Don't write invisible choice values,v2.6.33-rc6-172213-g0a28c47b8db8
2010-07-31,59e89e3ddf85,Refactoring,,,Y,,Y,kconfig: save location of config symbols,
2010-07-31,7cf3d73b4360,Semantic change,,,Y,,,kconfig: add savedefconfig,v2.6.33-rc6-172224-g7cf3d73b4360
2010-07-31,c252147de68c,Refactoring,,,Y,,,kconfig: refactor code in symbol.c,
2010-07-31,d595cea62403,Error Handling,,,Y,,,kconfig: print more info when we see a recursive dependency,
2010-08-04,bf5e327a300a,Refactoring,,,,Y,,kconfig: Fix warning: ignoring return value of 'fwrite',
2010-08-14,3643f849d7da,Bug Fix,,,Y,,,kconfig: fix segfault when detecting recursive dependency,
2010-08-14,652cf9821d2a,Other,,,,,Y,kconfig: rephrase help texts/comments not to include the package name,Documentation
2010-08-14,ffb5957bc48f,Other,,,,,Y,kconfig: allow build-time definition of the internal config prefix,Build system enchantment
2010-08-16,8ea13e2c87c8,Syntactic change,,Y,,,,kconfig: implement the `mainmenu' directive,syntactic enchantment v2.6.35-49-g8ea13e2c87c8
2010-08-18,76a540958af5,Refactoring,,,Y,,,kconfig: add a symbol string expansion helper,
2010-09-04,2e7a091833f0,Refactoring,Y,,,,,kconfig: constify file name,
2010-09-04,ba6ff60d5eb4,Other,,,,,Y,kconfig: don't emit warning upon rootmenu's prompt redefinition,
2010-09-04,e82dae9083c8,Other,Y,,,,,kconfig: use the file's name of sourced file,
2010-09-09,f6ce00b8cca0,Semantic change,,Y,,,,kconfig: expand by default the rootmenu's prompt,v2.6.35-172251-gf6ce00b8cca0
2010-09-19,8494453ad505,Refactoring,,,,Y,,kconfig: use calloc() for expr allocation,
2010-09-26,1137c56b7420,Refactoring,,,Y,Y,,kconfig: simplify select-with-unmet-direct-dependency warning,
2010-09-26,ff5ff6060bf8,Bug Fix & Refactoring,,,,,Y,kconfig: delay symbol direct dependency initialization,
2010-09-30,19c29f326075,Bug Fix,,,Y,,,kconfig: Fix realloc usage(),
2010-10-08,71ebc01d3ad4,Bug Fix,,,Y,,,kconfig: Temporarily disable dependency warnings,
2010-10-12,b1f7d6e1909c,Error Handling,,,Y,,,"Revert ""kconfig: Temporarily disable dependency warnings""",
2010-11-01,020e773f6b2e,Bug Fix,,,Y,,,kconfig: sym_expand_string_value: allow for string termination when reallocing,
2010-11-06,86e187ff9bce,Syntactic change & Semantic change,,Y,,,Y,kconfig: add an option to determine a menu's visibility,v2.6.37-rc2-1-g86e187ff9bce
2010-12-05,579fb8e741fe,Other,,,Y,,,kconfig: fix typos,
2010-12-05,ab60bd0b92ec,Semantic change & Bug Fix,,,,,Y,kconfig: add more S_INT and S_HEX consistency checks,Adds stricter checks for int and hex symbols improves semantic correctness
2010-12-09,7ad1227818f0,Semantic change & Bug Fix,,,,,Y,"kconfig: fix undesirable side effect of adding ""visible"" menu attribute",
2010-12-20,17742dc74371,Refactoring,,,,Y,,kconfig: Make expr_copy() take a const argument,
2011-02-24,2b2112f617e8,Refactoring,Y,,,,,kconfig: get rid of unused flags,
2011-02-24,f094f8a1b273,Refactoring,Y,,,,,kconfig: allow multiple inclusion of the same file,
2011-05-04,61f956f57603,Refactoring,Y,Y,,,,kconfig: constify `kconf_id_lookup',
2011-05-15,e54e692ba613,Refactoring,,,Y,,,kconfig: introduce specialized printer,
2011-05-23,378dbb2cf5cb,Other,,Y,,,,kconfig: migrate parser to implicit rules,Build Change
2011-05-23,b96a0d0c78c8,Refactoring,,Y,,,,kconfig: kill no longer needed reference to YYDEBUG,
2011-06-01,10a4b2772e76,Refactoring,,,,,Y,kconfig: add missing <stdarg.h> inclusion,
2011-06-01,5a6f8d2bd9e3,Refactoring,Y,Y,Y,Y,Y,kconfig: nuke LKC_DIRECT_LINK cruft,
2011-06-01,dd003306a4fa,Refactoring,,,,,Y,kconfig: add missing <ctype.h> inclusion,
2011-06-07,674eed8a6ac9,Other,Y,,,,,kconfig/zconf.l: do not ask to generate backup,
2011-06-08,ec6452a5ec68,Semantic change & Bug Fix,,,,,Y,kconfig: do not overwrite symbol direct dependency in assignment,
2011-08-02,3f198dfee49d,Bug Fix & Other,,,,,Y,kbuild: Fix help text not displayed in choice option.,UI behaviour
2011-08-03,57e6292da67c,Other,,,,,Y,kconfig: factor code in menu_get_ext_help(),Code cleanup
2012-01-23,5d09598d488f,Semantic change,,,Y,,,kconfig: fix new choices being skipped upon config update,
2012-08-23,5e609addb1bd,Other,,,,,Y,menuconfig: Add jump keys to search results,Feature addition menu UI
2012-08-23,95ac9b3b585d,Other,,,,,Y,menuconfig: Assign jump keys per-page instead of globally,Feature addition menu UI
2012-10-21,bad9955db1b7,Refactoring,,,,,Y,menuconfig: Replace CIRCLEQ by list_head-style lists.,
2012-11-06,177acf78468b,Refactoring,Y,,Y,Y,Y,kconfig: Fix malloc handling in conf tools,
2013-04-30,bcdedcc1afd6,Other,,,,,Y,menuconfig: print more info for symbol without prompts,Feature addition
2013-05-06,193b40aeb537,Other,,,Y,,,kconfig: sort found symbols by relevance,
2013-05-07,383da76f5261,Bug Fix,,,,,Y,menuconfig: fix NULL pointer dereference when searching a symbol,Feature addition Ux improvement
2013-05-19,1278ebdbc316,Other,,,,,Y,mconf/nconf: mark empty menus/menuconfigs different from non-empty ones,
2013-05-21,e983b7b17ad1,Bug Fix,,,,,Y,kconfig/menu.c: fix multiple references to expressions in menu_add_prop(),
2013-06-06,fbe98bb9ed3d,Semantic change,,,Y,,,kconfig: Fix defconfig when one choice menu selects options that another choice menu depends on,
2013-06-28,b57caaaed2bd,Semantic change & Bug Fix,,,Y,,,"kconfig: allow ""hex"" and ""range"" to support longs",
2013-07-13,26e933e3c356,Other & Refactoring,,,Y,,,kconfig: avoid multiple calls to strlen,performance optimization
2013-07-16,1407f97aeda5,Bug Fix,,,Y,,,kconfig: don't allocate n+1 elements in temporary array,
2013-07-16,508382a0428f,Refactoring,,,Y,,,kconfig: simplify symbol-search code,
2013-07-16,803b3519880f,Other,,,Y,,,kconfig: minor style fixes in symbol-search code,
2013-07-18,129784abc982,Semantic change,,,Y,,,"kconfig: switch to ""long long"" for sanity",
2013-09-03,6902dccfda00,Semantic change & Refactoring,,Y,,,Y,kconfig: do not special-case 'MODULES' symbol,
2013-09-03,e062781397e5,Bug Fix,,,,,Y,kconfig: do not allow more than one symbol to have 'option modules',
2013-10-03,3381960031a1,Refactoring,Y,,,,,kconfig: remove unused definition from scanner,
2013-10-03,503c823048e8,Semantic change & Error Handling,,,,,Y,kconfig: fix bug in search results string: use strlen(gstr->s),
2013-10-03,57540f1dea65,Error Handling,,,,,Y,kconfig: adjust warning message for conflicting types,
2013-10-03,8d9dfe827675,Other,,,Y,,Y,kconfig: fix trivial typos and update mconf documentation,typo fix
2014-04-07,5d2acfc7b974,Semantic change & Syntactic change,,,,,Y,kconfig: make allnoconfig disable options behind EMBEDDED and EXPERT,v3.14-10469-g5d2acfc7b974
2014-06-10,bb66fc67192b,Refactoring,Y,Y,,,Y,kbuild: trivial - use tabs for code indent where possible,
2014-11-04,2d5603060967,Bug Fix,,,,,Y,"kconfig: Fix warning ""‘jump’ may be used uninitialized""",
2015-01-20,2e0d737fc76f,Error Handling,Y,,,,,kconfig: don't silently ignore unhandled characters,
2015-02-24,4631574,Other,,,,Y,,kconfig: Remove dead code,Code cleanup
2015-02-24,ad8d40cda3ad,Other,,,Y,Y,Y,kconfig: Remove unnecessary prototypes from headers,Code cleanup
2015-05-22,e911503085ae,Refactoring,,,,Y,,Kconfig: Remove bad inference rules expr_eliminate_dups2(),
2015-06-15,31847b67bec0,Syntactic change & Semantic change,Y,Y,Y,Y,,kconfig: allow use of relations other than (in)equality,v3.14-10469-g5d2acfc7b974
2015-07-07,35ffd08d9bc9,Refactoring,,,Y,,,"kconfig: Delete unnecessary checks before the function call ""sym_calc_value""",
2015-07-12,c2264564df3d,Error Handling,Y,,,,,kconfig: warn of unhandled characters in Kconfig commands,
2015-10-07,1c199f2878f6,Other,,,Y,,,kbuild: document recursive dependency limitation / resolution,
2015-10-19,f6aad2615c8c,Bug Fix,,,,Y,,kconfig: Fix copy&paste error,
2016-01-01,aab24a897cfb,Refactoring,,,,,Y,kconfig: return 'false' instead of 'no' in bool function,
2016-04-29,fa64e5f6a35e,Semantic change & Bug Fix,,,Y,,,kconfig/symbol.c: handle choice_values that depend on 'm' symbols,
2016-11-11,237e3ad0f195,Syntactic change & Semantic change,,Y,Y,,Y,"Kconfig: Introduce the ""imply"" keyword",v4.9-rc2-3-g237e3ad0f195
2017-08-19,bb3290d91695,Other & Refactoring,,Y,,,,Remove gperf usage from toolchain,Build Change
2017-10-04,2c37e08464a8,Error Handling,,,,,Y,kconfig: Warn if choice default is not in choice,
2017-10-05,9a826842ff2f,Refactoring,,,,,Y,kconfig: Rename menu_check_dep() to rewrite_m(),
2017-10-05,c873443430eb,Refactoring,,Y,,,,kconfig: Sync zconf.y with zconf.tab.c_shipped,
2017-10-05,f77850d3fe0c,Bug Fix,,,,,Y,kconfig: Clean up modules handling and fix crash,
2017-10-05,fa8cedaef814,Other,,,,,Y,kconfig: Clarify expression rewriting,Documentation
2017-10-08,05cccce58045,Other,,,,,Y,kconfig: Document automatic submenu creation code,code comments
2017-10-08,0724a7c32a54,Bug Fix,,Y,,,,kconfig: Don't leak main menus during parsing,
2017-10-08,0735f7e5def2,Other,,,,Y,,kconfig: Document important expression functions,
2017-10-08,24161a6711c9,Bug Fix,,Y,Y,,,kconfig: Don't leak 'source' filenames during parsing,
2017-10-08,26e47a3c11a2,Bug Fix,,Y,,,,kconfig: Don't leak symbol names during parsing,
2017-10-08,5b1374b3b3c2,Bug Fix,,,,Y,,kconfig: Fix expr_free() E_NOT leak,
2017-10-08,7cf33f88e294,Bug Fix,,,,,Y,kconfig: Fix choice symbol expression leak,
2017-10-08,ae7440ef0c80,Bug Fix,,,,,Y,kconfig: Fix automatic menu creation mem leak,
2017-10-08,bc28fe1d5ede,Bug Fix,,Y,,,,kconfig: Don't leak 'option' arguments during parsing,
2017-10-09,df60f4b92d3d,Refactoring,,Y,,,Y,kconfig: Remove menu_end_entry(),
2017-11-08,88127dae6ed9,Bug Fix,,,Y,,,kconfig/symbol.c: use correct pointer type argument for sizeof,
2017-11-16,9059a3493efe,Semantic change & Bug Fix,,,,Y,,kconfig: fix relational operators for bool and tristate symbols,
2017-12-16,b92d804a5179,Syntactic change,,Y,Y,,Y,kconfig: drop 'boolean' keyword,v4.15-rc2-23-gb92d804a5179
2017-12-16,e3b03bf29d6b,Bug Fix,,,Y,,,kconfig: display recursive dependency resolution hint just once,
2018-01-12,6479f327dea6,Error Handling,,Y,,,,kconfig: Warn if there is more than one help text,
2018-01-12,765f4cdef6f8,Refactoring,Y,Y,,,,kconfig: use default 'yy' prefix for lexer and parser,
2018-01-14,3e41ba05b6d6,Other,,,,,Y,kconfig: Document SYMBOL_OPTIONAL logic,Documentation
2018-01-14,9d1a9e8bc18b,Other,,,,,Y,kconfig: Document 'if' flattening logic,Documentation
2018-01-14,d3465af60f44,Other,,,,,Y,kconfig: Clarify choice dependency propagation,Documentation
2018-01-16,b53688014e33,Other,,,,,Y,kconfig: Clarify menu and 'if' dependency propagation,Documentation
2018-01-25,1ccb27143360,Other,,,,Y,Y,"kconfig: make ""Selected by:"" and ""Implied by:"" readable",Output formatting
2018-01-31,1b9eda2e4892,Error Handling,,Y,,,,kconfig: Warn if help text is blank,
2018-02-06,9e3e10c72536,Error Handling,Y,,Y,Y,,kconfig: send error messages to stderr,
2018-02-06,cb67ab2cd2b8,Semantic change & Bug Fix,,,Y,,,kconfig: do not write choice values when their dependency becomes n,
2018-02-09,523ca58b7db2,Refactoring,,,Y,,,kconfig: remove const qualifier from sym_expand_string_value(),
2018-02-09,d717f24d8c68,Refactoring,Y,,Y,,,kconfig: add xrealloc() helper,
2018-02-17,cd81fc82b93f,Refactoring,,Y,Y,,,kconfig: add xstrdup() helper,
2018-02-17,f4bc1eefc160,Semantic change,,,,,Y,kconfig: set SYMBOL_AUTO to the symbol marked with defconfig_list,"changes written configurations to .config file, changes .config file v4.16-rc3-4-gf4bc1eefc160"
2018-02-20,9a47ceec543b,Refactoring,,,,Y,Y,kconfig: clean-up reverse dependency help implementation,
2018-02-20,bf0bbdcf1003,Bug Fix,,Y,,,,kconfig: Don't leak choice names during parsing,
2018-02-23,f467c5640c29,Semantic change,,,Y,,,kconfig: only write '# CONFIG_FOO is not set' for visible symbols,improves output clearity  v4.16-rc5-6-gf467c5640c29
2018-02-24,d9119b5925a0,Other,,,,Y,Y,kconfig: Print reverse dependencies in groups,
2018-03-02,5ae6fcc4bb82,Error Handling & Bug Fix,Y,,,,,kconfig: fix line number in recursive inclusion error message,
2018-03-13,f622f8279581,Semantic change,,,Y,,,kconfig: warn unmet direct dependency of tristate symbols selected by y,
2018-03-13,f8f69dc0b4e0,Error Handling,,,Y,Y,,kconfig: make unmet dependency warnings readable,
2018-03-23,18492685e479,Refactoring,Y,,,,,kconfig: use yylineno option instead of manual lineno increments,
2018-03-23,32a94b8b0c3e,Error Handling,Y,,,,,kconfig: remove duplicated file name and lineno of recursive inclusion,
2018-03-23,379a8eb8eb1a,Error Handling,Y,,,,,kconfig: detect recursive inclusion earlier,
2018-05-22,694c49a7c01c,Other,,Y,,,Y,kconfig: drop localization support,cleanup
2018-05-28,104daea149c4,Syntactic change & Semantic change,Y,Y,Y,,Y,kconfig: reference environment variables directly and remove 'option env=',v4.17-rc7-8-g104daea149c4
2018-05-28,1175c02506ff,Syntactic change & Semantic change,Y,Y,,,,kconfig: support simply expanded variable,v4.17-rc7-18-g1175c02506ff
2018-05-28,137c0118a900,Refactoring,,Y,,,,kconfig: make default prompt of mainmenu less specific,
2018-05-28,5b31a9746756,Refactoring,,,Y,,,kconfig: remove sym_expand_string_value(),
2018-05-28,82bc8bd82e5c,Semantic change,Y,,,,,kconfig: expand lefthand side of assignment statement,
2018-05-28,96d8e48da55a,Refactoring,,Y,,,,kconfig: remove string expansion for mainmenu after yyparse(),
2018-05-28,9ced3bddec08,Syntactic change & Semantic change,Y,Y,,,,kconfig: support user-defined function and recursively expanded variable,v4.17-rc7-17-g9ced3bddec08
2018-05-28,9de071536c87,Refactoring,Y,,,,,kconfig: begin PARAM state only when seeing a command keyword,
2018-05-28,ed2a22f277c6,Syntactic change & Semantic change,Y,,,,,kconfig: support append assignment operator,v4.17-rc7-19-ged2a22f277c6
2018-06-21,b2d00d7c61c8,Bug Fix,,Y,,,,kconfig: fix line numbers for if-entries in menu tree,
2018-06-22,ecd53ac2f2c6,Other,,Y,,,,kconfig: handle P_SYMBOL in print_symbol(),Debugging Improvement
2018-07-03,693359f7ac90,Refactoring,,Y,Y,,Y,kconfig: rename SYMBOL_AUTO to SYMBOL_NO_WRITE,
2018-08-09,56869d45e364,Bug Fix,,Y,,,,kconfig: fix the rule of mainmenu_stmt symbol,
2018-08-14,1880861226c1,Refactoring,,,Y,,,kconfig: remove P_ENV property type,
2018-08-14,c151272d1687,Refactoring,,,Y,,,kconfig: remove unused sym_get_env_prop() function,
2018-08-15,5e8c5299d315,Error Handling,,,Y,,,kconfig: report recursive dependency involving 'imply',
2018-08-15,f1575595d156,Error Handling,,,Y,,,kconfig: error out when seeing recursive dependency,
2018-08-15,f498926c47aa,Other,,,Y,,,kconfig: improve the recursive dependency report,Output formatting
2018-11-30,0cbe3ac439bf,Refactoring,,,,Y,,kconfig: remove k_invalid from expr_parse_string() return type,
2018-11-30,2aabbed6774f,Refactoring,,,Y,,,kconfig: remove S_OTHER symbol type and correct dependency tracking,
2018-12-11,0bcc547ec4b0,Refactoring,Y,,,,,kconfig: clean up EOF handling in the lexer,
2018-12-11,171a515d0803,Refactoring,Y,Y,,,,kconfig: use T_WORD instead of T_VARIABLE for variables,
2018-12-11,1f31be9ec0a9,Syntactic change,,Y,,,,"kconfig: loosen the order of ""visible"" and ""depends on"" in menu entry",v4.20-rc2-19-g1f31be9ec0a9
